District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
Metropolitan,Other works,,,Construction Works,497168242,0,71529371,424511557,1127314,0,66878338,96555450,333734454,333734454,199252789,134481665,0,,,0,,
Metropolitan,Other works,,,Corridor Acquisitions (Hardship),16069604,0,0,16069604,0,0,4000000,8069604,4000000,4000000,4000000,0,0,,,0,,
Metropolitan,Other works,,,Corridor Acquisitions (Non-hardship),13723879,0,0,13723879,0,0,3500000,4098097,6125782,6125782,6125782,0,0,,,0,,
Metropolitan,Other works,,,Corridor and Minor Safety Enhancements,19123834,0,810362,18313472,0,0,7015234,6328843,5779757,5779757,2856152,2923605,0,,,0,,
Metropolitan,Other works,,,"Corridor, Roadway and Structures Management",6278837,0,0,6278837,0,0,2751692,1256926,2270219,2270219,1141115,1129104,0,,,0,,
Metropolitan,Other works,,,Infrastructure (Non-capital),414126,0,0,414126,0,0,414126,0,0,0,0,0,0,,,0,,
Metropolitan,Other works,,,Local Government Transport Development,49127062,0,20918000,28209062,0,0,35423485,6748002,6955575,6955575,3096752,3858823,0,,,0,,
Metropolitan,Other works,,,Natural Disaster Rehabilitation and Replacement,4995371,0,3709030,1286341,0,0,350000,4645371,0,0,0,0,0,,,0,,
Metropolitan,Other works,,,Other European Train Control System Level 2 - Inner City,100090657,0,0,100090657,0,0,36392514,36099630,27598513,27598513,27598513,0,0,"The Other European Train Control System Level Two Inner City line item is the capitalised interest. This amount reflects changes to program funding and interest rates. Consistent with all capital expenditure, this is not considered part of the cost of delivering the project.",,0,,
Metropolitan,Other works,,,Programmed Maintenance,114632973,0,9125702,105448031,59240,0,27602977,28440869,58589127,58589127,29199975,29389152,0,,,0,,
Metropolitan,Other works,,,Rehabilitation,142900879,0,10279950,132620929,0,0,49456820,24982663,68461396,68461396,32382418,36078978,0,,,0,,
Metropolitan,Other works,,,Routine Maintenance,179063606,0,12568328,166495278,0,0,37867894,44433867,96761845,96761845,46360903,50400942,0,,,0,,
Metropolitan,Other works,,,Traffic Management Enhancements,22864455,0,1512242,21352213,0,0,9576811,7441000,5846644,5846644,3880614,1966030,0,,,0,,
Metropolitan,Other works,,,Traffic Operations,52335317,0,2024000,50311317,0,0,28929004,10642313,12764000,12764000,6764000,6000000,0,,,0,,
Metropolitan,Other works,,,Transport Network Investments,20613984,0,747416,19866568,0,0,5466788,3147196,12000000,12000000,2000000,10000000,0,,,0,,
Metropolitan,Other works,,,Transport Planning,6601748,0,0,6601748,0,0,1058902,2800000,2742846,2742846,2442846,300000,0,,,0,,
North Coast,Moreton Bay City,National,2349359,"Bruce Highway (Brisbane - Gympie), Anzac Avenue to Uhlmann Road upgrade, business case",5725817,12000000,9600000,2400000,0,6274183,5725817,0,0,0,0,0,0,,,1,-27.190595,152.986763
North Coast,Moreton Bay City,National,2588655,"Bruce Highway (Brisbane - Gympie), Anzac Avenue to Uhlmann Road upgrade, funding commitment",506600000,733000000,586400000,146600000,0,0,8500000,280375000,217725000,217725000,202025000,15700000,226400000,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",,1,-27.189556,152.986552
North Coast,Moreton Bay City,National,2348820,"Bruce Highway (Brisbane - Gympie), Buchanan Road to Caboolture - Bribie Island Road upgrade, business case",10267966,12000000,9600000,2400000,0,1732034,1000000,267966,9000000,9000000,9000000,0,0,,,1,-27.098302,152.975898
North Coast,Moreton Bay City,National,1739444,"Bruce Highway (Brisbane - Gympie), Dohles Rocks Road to Anzac Avenue upgrade (Stage 1)",181430121,290000000,232000000,58000000,0,30164879,80898401,78936720,21595000,21595000,0,21595000,78405000,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/bruce-highway-brisbane-gympie-dohles-rocks-road-to-anzac-avenue-upgrade ,1,-27.253541,153.019207
North Coast,Moreton Bay City,National,1509103,"Bruce Highway (Brisbane - Gympie), Gateway Motorway to Dohles Rocks Road upgrade (Stage 1)",392836006,948000000,758400000,189600000,0,36204915,30000000,58766107,304069899,304069899,51682496,252387403,518959079,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",https://www.tmr.qld.gov.au/projects/bruce-highway-brisbane-gympie-gateway-motorway-to-dohles-rocks-road-upgrade ,1,-27.279617,153.019835
North Coast,Moreton Bay City,National,3217683,"Bruce Highway (Brisbane - Gympie), Gateway Motorway to Dohles Rocks Road upgrade (Stage 2), detailed design",30000000,30000000,15000000,15000000,0,0,20000000,10000000,0,0,0,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-27.279617,153.019835
North Coast,Moreton Bay City,National,2349159,"Bruce Highway (Brisbane - Gympie), Uhlmann Road to Buchanan Road upgrade, business case",4978321,10000000,8000000,2000000,0,5021679,4978321,0,0,0,0,0,0,,,1,-27.121948,152.977281
North Coast,Moreton Bay City,State,3019850,"Anzac Avenue, Elizabeth Avenue and Boardman Road intersection, intersection and pedestrian upgrades",8350000,9000000,4500000,4500000,0,650000,8350000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.227122,153.084764
North Coast,Moreton Bay City,State,3020165,"Anzac Avenue, Percy Street to Gomersall Street, construct signalised pedestrian crossing",1065000,1300000,650000,650000,0,235000,1065000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.22975,153.107072
North Coast,Moreton Bay City,State,3053550,"Beerburrum Road, Twin View Road and English Street (Elimbah), improve safety",5931000,5931000,0,5931000,0,0,750000,4091000,1090000,1090000,1090000,0,0,Safer Roads Sooner Program,,1,-27.01148,152.943586
North Coast,Moreton Bay City,State,2422540,Bribie Island and surrounds transport and mobility study,91840,472489,0,472489,0,380649,91840,0,0,0,0,0,0,,,0,,
North Coast,Moreton Bay City,State,3053007,"Brighton - Redcliffe Road (Hornibrook Esplanade) and Oxley Avenue (Woody Point) intersection, improve safety",3977000,3977000,0,3977000,0,0,185000,2716000,1076000,1076000,1076000,0,0,Safer Roads Sooner Program,,1,-27.259025,153.102733
North Coast,Moreton Bay City,State,2777308,"Brisbane - Woodford Road (Gympie Road) and Paisley Drive intersection, install traffic signals",1812000,2112000,0,2112000,0,300000,1338000,474000,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.290207,152.985003
North Coast,Moreton Bay City,State,2905583,"Brisbane - Woodford Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",5500843,5839843,4379882,1459961,0,339000,5500843,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.19812,152.842746
North Coast,Moreton Bay City,State,2263283,"Burpengary - Caboolture Road (Morayfield Road), Aquatic Centre Drive to Graham Road, planning",1730000,2130000,0,2130000,0,400000,1105000,625000,0,0,0,0,0,,,1,-27.134252,152.963417
North Coast,Moreton Bay City,State,B06064,"Burpengary train station, Burpengary Road, upgrade station",14633726,45971999,0,45971999,0,31338273,14583726,50000,0,0,0,0,0,,,1,-27.1619,152.957402
North Coast,Moreton Bay City,State,1862714,"Caboolture - Bribie Island Road, Bribie Island Bridge, planning",1040000,5232495,0,5232495,0,4192495,850000,190000,0,0,0,0,0,,,1,-27.07201,153.143698
North Coast,Moreton Bay City,State,1779573,"Caboolture - Bribie Island Road, Hickey Road to King Johns Creek, upgrade",52988500,59000000,10000000,49000000,0,11500,1300000,17757000,33931500,33931500,16933000,16998500,6000000,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration and negotiation with the Australian Government, including funding splits.",https://www.tmr.qld.gov.au/projects/caboolture-bribie-island-road-hickey-road-to-king-johns-creek ,1,-27.078003,153.002738
North Coast,Moreton Bay City,State,490481,"Caboolture - Bribie Island Road, planning",800000,2988315,0,2988315,0,2188315,10000,286000,504000,504000,504000,0,0,,,1,-27.07575,153.011887
North Coast,Moreton Bay City,State,1158882,"Caboolture - Bribie Island Road, upgrade program",32105668,48230000,28915000,19315000,0,16124332,3000000,15000000,14105668,14105668,13000000,1105668,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/caboolture-bribie-island-road-old-toorbul-point-road-to-saint-road ,1,-27.073091,153.033091
North Coast,Moreton Bay City,State,3054303,"Deception Bay Road, Bay Avenue and Moreton Downs Drive intersection, improve safety",8340000,8340000,0,8340000,0,0,1150000,4230000,2960000,2960000,2960000,0,0,Safer Roads Sooner Program,,1,-27.196705,153.029526
North Coast,Moreton Bay City,State,2506484,"Kilcoy - Beerwah Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",3225146,4660488,3495367,1165121,0,1435342,3225146,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.838135,152.817488
North Coast,Moreton Bay City,State,1868909,"Linkfield Connection Road duplication, planning",1600000,1600000,0,1600000,0,0,5000,55000,1540000,1540000,1540000,0,0,,,1,-27.328494,152.992394
North Coast,Moreton Bay City,State,2356888,"Maleny - Stanley River Road, road realignment, undertake safety improvements",8460000,9000000,4500000,4500000,0,540000,8460000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.822828,152.773211
North Coast,Moreton Bay City,State,3236161,"Morayfield transport and mobility study, planning",400000,400000,0,400000,0,0,0,200000,200000,200000,200000,0,0,,,0,,
North Coast,Moreton Bay City,State,2971315,"Mount Glorious Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",838339,1576339,1182254,394085,0,738000,838339,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.329393,152.943052
North Coast,Moreton Bay City,State,3019467,"Redcliffe Road (Anzac Avenue) and Halpine Drive, upgrade intersection",4000000,4500000,2250000,2250000,0,500000,4000000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-27.241789,153.024257
North Coast,Moreton Bay City,State,2996261,"Samford - Mount Glorious Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",5273614,7096614,5322461,1774153,0,1823000,5273614,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.378344,152.831303
North Coast,Moreton Bay City,State,1490751,"Samford Road and Camp Mountain Road, improve safety",1629115,2850000,0,2850000,0,1220885,304115,1325000,0,0,0,0,0,Safer Roads Sooner Program,,1,-27.389713,152.904078
North Coast,Moreton Bay City,State,1146288,"Samford Road, Lomandra Park to Camp Mountain Road, improve safety",7341164,11133000,0,11133000,0,3791836,3979164,3300000,62000,62000,62000,0,0,Safer Roads Sooner Program,https://www.tmr.qld.gov.au/projects/samford-road-safety-improvements ,1,-27.393069,152.907249
North Coast,Moreton Bay City,State,1765599,Scarborough Boat Harbour master planning,185032,575000,0,575000,0,389968,185032,0,0,0,0,0,0,,,1,-27.21273,153.10009
North Coast,Moreton Bay City,State,1572868,"Strathpine - Samford Road, Eatons Crossing Road and Mount Samson Road intersection, improve safety",37466565,75200000,0,75200000,0,37733435,32266565,5200000,0,0,0,0,0,High Risk Roads Initiative,https://www.tmr.qld.gov.au/projects/strathpine-samford-road-eatons-crossing-road-and-mount-samson-road-improve-intersection ,1,-27.345765,152.907256
North Coast,Noosa Shire,National,2932948,"Bruce Highway (Brisbane - Gympie), 2022 Disaster Recovery Funding Arrangements reconstruction works",5534151,5534151,4150613,1383538,0,0,5534151,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.388018,152.839209
North Coast,Noosa Shire,State,2932638,"Cooroy - Gympie Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",103887,1153887,865415,288472,0,1050000,103887,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.391746,152.859653
North Coast,Noosa Shire,State,2357846,"Eumundi - Noosa Road, Emu Mountain Road to Beckmans Road, widen existing pavement",23500000,25000000,12500000,12500000,0,1500000,14250000,9250000,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.426412,153.02485
North Coast,Sunshine Coast Regional,State,3019297,"Eumundi - Noosa Road, Seib Road, construct pathway and pedestrian bridge",5720000,6000000,3000000,3000000,0,280000,5720000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.473796,152.958542
North Coast,Noosa Shire,State,2383345,"Kin Kin Road, Sallwood Court to Turnbull Road, strengthen and widen pavement",11992000,12500000,0,12500000,0,508000,100000,3392000,8500000,8500000,8500000,0,0,,,1,-26.319032,152.872913
North Coast,Noosa Shire,State,2383346,"Kin Kin Road, Williams Road to Western Branch Road, strengthen and widen pavement",24669369,25200000,0,25200000,0,530631,110000,100000,24459369,24459369,24459369,0,0,,,1,-26.297704,152.876236
North Coast,Noosa Shire,State,2684020,"Tewantin Bypass, Beckmans Road, planning",1300000,1400000,0,1400000,0,100000,0,0,1300000,1300000,300000,1000000,0,,,1,-26.408431,153.017506
North Coast,Noosa Shire,Local,2581248,"Lawnville Road (Cooroy), replace bridge",932331,2330829,1864663,0,466166,932332,932331,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-26.425726,152.88043
North Coast,Somerset Regional,National,2971639,"Warrego Highway (Ipswich - Toowoomba), 2022 Disaster Recovery Funding Arrangements reconstruction works",3428483,3805483,2854112,951371,0,377000,3428483,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.550333,152.524405
North Coast,Somerset Regional,State,2367654,"Brisbane Valley Highway Safety Upgrade, funding commitment",20000000,20000000,20000000,0,0,0,500000,6000000,13500000,13500000,13500000,0,0,,,1,-27.261558,152.483133
North Coast,Somerset Regional,State,2959685,"Brisbane Valley Rail Trail, Black Snake gully, rehabilitate bridge and crossing",750000,1500000,0,1500000,0,750000,750000,0,0,0,0,0,0,,,1,-27.294304,152.412018
North Coast,Somerset Regional,State,2383091,"Coominya Connection Road, Buaraba Creek, replace timber bridge",11359581,12000000,0,12000000,0,640419,3000000,7359581,1000000,1000000,1000000,0,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",,1,-27.424339,152.489081
North Coast,Somerset Regional,State,2358722,"D'Aguilar Highway (Caboolture - Kilcoy), Mary Smokes Creek Road to Villeneuve Road, widen existing pavement",4490000,4660000,2330000,2330000,0,170000,4490000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.933924,152.674765
North Coast,Somerset Regional,State,2358860,"D'Aguilar Highway (Kilcoy - Yarraman) and Brisbane Valley Highway (Ipswich - Harlin), intersection upgrades",1210000,1550000,775000,775000,0,340000,1210000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.944255,152.356141
North Coast,Somerset Regional,State,2971615,"Esk - Kilcoy Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",11476963,13656963,10242722,3414241,0,2180000,11476963,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.175446,152.455113
North Coast,Somerset Regional,State,2921011,"Kilcoy - Murgon Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",2339673,2918673,2189005,729668,0,579000,2339673,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.8667,152.523395
North Coast,Somerset Regional,State,2971337,"Mount Glorious Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",2287173,4124173,3093130,1031043,0,1837000,2287173,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.315801,152.747002
North Coast,Somerset Regional,State,2970551,"Mount Glorious Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",863392,1205392,904044,301348,0,342000,863392,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.30597,152.69515
North Coast,Somerset Regional,Local,3186073,"Forest Hill Fernvale Road and Lowood Minden Road, Sea Eagle Drive to Russell Road, construct shared path",1200000,2400000,0,1200000,1200000,0,600000,600000,0,0,0,0,0,,,1,-27.466763,152.557546
North Coast,Somerset Regional,Local,2519146,"Lowood Minden Road, near Kisslings Road intersection, strengthen and widen pavement",1089763,1434204,1147363,0,286841,57600,1089763,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-27.541322,152.542095
North Coast,Somerset Regional,Local,3006253,"McCulkins Lane and Muckerts Lane (Fernvale), strengthen and widen pavement",5000000,10003000,5000000,0,5003000,0,2500000,2500000,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-27.471601,152.633585
North Coast,Somerset Regional,Local,2615407,"Neurum Road (Villeneuve), Lester Kropp Bridge, replace bridge",2500000,7273576,5000000,0,2273576,2500000,2500000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-26.964688,152.636038
North Coast,Sunshine Coast Regional,National,858087,Beerburrum to Nambour Rail Upgrade (Stage 1),798032391,1004191000,616700000,387491000,0,166158609,114977241,328786450,354268700,354268700,264668700,89600000,40000000,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/beerburrum-to-nambour-rail-upgrade-stage-1 ,1,-26.781012,152.964315
North Coast,Sunshine Coast Regional,National,2295870,"Beerburrum to Nambour Rail Upgrade, duplication study",5480108,6250000,5000000,1250000,0,769892,2480108,3000000,0,0,0,0,0,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",https://www.tmr.qld.gov.au/projects/beerburrum-to-nambour-rail-upgrade-stage-1 ,1,-26.775531,152.966482
North Coast,Sunshine Coast Regional,National,2933006,"Bruce Highway (Brisbane - Gympie), 2022 Disaster Recovery Funding Arrangements reconstruction works",3451272,3698272,2773704,924568,0,247000,3451272,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.633757,152.987931
North Coast,Sunshine Coast Regional,State,2683429,"Caloundra Road and Nicklin Way, upgrade intersection, business case",2500000,2500000,0,2500000,0,0,300000,1000000,1200000,1200000,1200000,0,0,,,1,-26.798764,153.114101
North Coast,Sunshine Coast Regional,State,12419,"David Low Way Cycle Facility (Stage 1, 2 and 3), Runway Drive to Keith Royal Drive, construct cycleway",3426805,5742077,0,5742077,0,2315272,0,600000,2826805,2826805,2826805,0,0,,https://www.tmr.qld.gov.au/projects/david-low-way-cycle-facility ,1,-26.61043,153.093209
North Coast,Sunshine Coast Regional,State,3024759,"Direct Sunshine Coast Rail Line (Stage 1), funding commitment",2138200000,5500000000,2750000000,2750000000,0,5000000,110800000,182000000,1845400000,1845400000,800000000,1045400000,3356800000,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration. Stage 1 is expected to cost between $5.5 billion to $7 billion, with cost estimates to be finalised following further design development, market engagement and procurement.",,1,-26.83164,153.038442
North Coast,Sunshine Coast Regional,State,2360976,"Glass House Mountains Road (Steve Irwin Way) and Caloundra Street, intersection upgrade",11288929,11600000,3850000,7750000,0,311071,500000,5388929,5400000,5400000,4500000,900000,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration. Funding splits under negotiation.",https://www.tmr.qld.gov.au/projects/glass-house-mountains-road-steve-irwin-way-and-caloundra-street-intersection-upgrade ,1,-26.806065,152.977482
North Coast,Sunshine Coast Regional,State,2357662,"Glass House Mountains Road (Steve Irwin Way), widen existing pavement",36250000,38000000,19000000,19000000,0,1750000,15625000,20625000,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.88497,152.961918
North Coast,Sunshine Coast Regional,State,2971516,"Kenilworth - Brooloo Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",781604,3925604,2944203,981401,0,3144000,781604,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.580053,152.725476
North Coast,Sunshine Coast Regional,State,2932201,"Kilcoy - Beerwah Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",2554583,2922583,2191937,730646,0,368000,2554583,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.834728,152.831805
North Coast,Sunshine Coast Regional,State,2955407,"Maleny - Kenilworth Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",866748,1438748,1079061,359687,0,572000,866748,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.709046,152.805029
North Coast,Sunshine Coast Regional,State,2971670,"Maleny - Stanley River Road Site 9, 2022 Disaster Recovery Funding Arrangements reconstruction works",6040435,6040435,4530326,1510109,0,0,6040435,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.799109,152.796158
North Coast,Sunshine Coast Regional,State,3019605,"Maroochydore - Noosa Road (Bradman Avenue), Diura Street and Denna Street, improve intersections",5550000,7000000,3500000,3500000,0,1450000,5550000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.642648,153.067749
North Coast,Sunshine Coast Regional,State,1868964,"Maroochydore - Noosa Road (David Low Way), Bli Bli Bridge upgrade, planning",2230000,3030000,0,3030000,0,800000,800000,1430000,0,0,0,0,0,,,1,-26.62204,153.044797
North Coast,Sunshine Coast Regional,State,2218194,"Maroochydore Road, Pike Street and Killick Street intersection upgrade, design",1045406,2100000,0,2100000,0,1054594,345406,700000,0,0,0,0,0,Funding is for pre-construction activities only.,https://www.tmr.qld.gov.au/projects/maroochydore-road-pike-street-and-killick-street-intersection-upgrade-design ,1,-26.662118,153.031918
North Coast,Sunshine Coast Regional,State,1682050,"Mooloolaba Harbour entrance, dredging and bed levelling",1000000,5649893,0,5079893,570000,4649893,500000,500000,0,0,0,0,0,,https://www.msq.qld.gov.au/Boating-facilities/Mooloolaba-boat-harbour-dredging ,1,-26.680389,153.133594
North Coast,Sunshine Coast Regional,State,2915925,"Nambour - Mapleton Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",309695,1102695,827021,275674,0,793000,309695,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.623102,152.91579
North Coast,Sunshine Coast Regional,State,3020359,"Nicklin Way, Meridian Street and Beach Drive, intersection and footpath upgrades",4310000,4685000,2342500,2342500,0,375000,4310000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.741037,153.129002
North Coast,Sunshine Coast Regional,State,2836018,"Nicklin Way, Piringa Street to Moondara Drive, improve safety",3270000,3470000,0,3470000,0,200000,2270000,1000000,0,0,0,0,0,,,1,-26.759747,153.124973
North Coast,Sunshine Coast Regional,State,1776710,"Nicklin Way, Third Avenue extension, new intersection",10647346,11200000,0,7000000,4200000,552564,2000000,8647346,0,0,0,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, consideration and negotiation with the Sunshine Coast Regional Council.",https://www.tmr.qld.gov.au/projects/nicklin-way-third-avenue-extension-intersection ,1,-26.796896,153.119571
North Coast,Sunshine Coast Regional,State,2505657,"Obi Obi Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",3807225,4500519,3375390,1125129,0,693294,3807225,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.639854,152.840403
North Coast,Sunshine Coast Regional,State,1236359,"Sunshine Coast Public Transport, business case",2722014,16500000,5000000,6500000,5000000,13777986,2722014,0,0,0,0,0,0,,,1,-26.69534,153.1155
North Coast,Sunshine Coast Regional,State,2683782,"Sunshine Motorway (Mooloolaba - Peregian), David Low Way to Yandina - Coolum Road duplication, business case",3000000,3000000,0,3000000,0,0,0,0,3000000,3000000,500000,2500000,0,,,1,-26.568589,153.073027
North Coast,Sunshine Coast Regional,State,2356108,"Sunshine Motorway (Tanawha - Mooloolaba), Dixon Road to Mooloolah River interchange, business case",4400000,5000000,2500000,2500000,0,600000,200000,400000,3800000,3800000,2300000,1500000,0,,,1,-26.712368,153.078021
North Coast,Sunshine Coast Regional,State,2007574,"Sunshine Motorway, Mooloolah River Interchange Upgrade (Stage 1)",100272774,176750000,16750000,160000000,0,76477226,10150000,9950000,80172774,80172774,64050000,16122774,0,Project details and timing subject to further planning and negotiation with funding partners.,https://www.tmr.qld.gov.au/projects/sunshine-motorway-mooloolah-river-interchange-upgrade-stage-1 ,1,-26.694423,153.110328
North Coast,Sunshine Coast Regional,State,2971589,"Woombye - Montville Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1943736,3427736,2570802,856934,0,1484000,1943736,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.700077,152.910745
North Coast,Sunshine Coast Regional,State,2383109,"Yandina - Coolum Road, South Coolum Road and School Road, upgrade roundabout",5900000,6000000,0,6000000,0,100000,3500000,2400000,0,0,0,0,0,,,1,-26.536417,153.077323
North Coast,Sunshine Coast Regional,Local,3203844,"Beerburrum to Landsborough (Stage 1), Beerwah to Glass House, construct active transport facilities",5805045,6100000,0,6100000,0,294955,249850,2680674,2874521,2874521,2874521,0,0,,,0,,
North Coast,Sunshine Coast Regional,Local,3043499,"Cotton Tree area pedestrian safety project, undertake safety improvements",1772500,1772500,1772500,0,0,0,550000,1222500,0,0,0,0,0,Australian Government Black Spot Program,,1,-26.657142,153.10077
North Coast,Various local governments,National,3016097,Road Safety Asset Management,480000,1200000,0,1200000,0,720000,480000,0,0,0,0,0,0,,,1,-27.291313,153.01904
North Coast,Various local governments,State,2046348,"North Brisbane - Bruce Highway Western Alternative, planning",11029153,20000000,10000001,9999999,0,8970847,1629153,1400000,8000000,8000000,2000000,6000000,0,Australian Government Major Projects Business Case Fund,https://www.tmr.qld.gov.au/projects/north-brisbane-bruce-highway-western-alternative-planning ,0,,
North Coast,Other works,,,Construction Works,69545396,0,21023450,47763988,757958,0,31111005,31852277,6582114,6582114,6079395,502719,0,,,0,,
North Coast,Other works,,,Corridor Acquisitions (Hardship),57200000,0,0,57200000,0,0,18500000,15000000,23700000,23700000,12700000,11000000,0,,,0,,
North Coast,Other works,,,Corridor and Minor Safety Enhancements,33227300,0,3802246,29325636,99418,0,16967620,8580008,7679672,7679672,4583836,3095836,0,,,0,,
North Coast,Other works,,,"Corridor, Roadway and Structures Management",5468658,0,0,5468658,0,0,2153808,2019994,1294856,1294856,415206,879650,0,,,0,,
North Coast,Other works,,,Local Government Transport Development,48640082,0,30345297,18294785,0,0,34707737,5919115,8013230,8013230,4006615,4006615,0,,,0,,
North Coast,Other works,,,Natural Disaster Rehabilitation and Replacement,12354855,0,9266143,3088712,0,0,1824153,10530702,0,0,0,0,0,,,0,,
North Coast,Other works,,,Programmed Maintenance,152732069,0,14432286,138299783,0,0,39433497,39331856,73966716,73966716,40378742,33587974,0,,,0,,
North Coast,Other works,,,Rehabilitation,157352444,0,9041514,148310930,0,0,53433426,35314207,68604811,68604811,36871768,31733043,0,,,0,,
North Coast,Other works,,,Routine Maintenance,135293952,0,11412829,123881123,0,0,27299616,34000494,73993842,73993842,35868671,38125171,0,,,0,,
North Coast,Other works,,,Traffic Management Enhancements,25217476,0,12000000,13217476,0,0,4540476,2447000,18230000,18230000,18000000,230000,0,,,0,,
North Coast,Other works,,,Traffic Operations,12967342,0,2176000,10791342,0,0,11812342,627000,528000,528000,528000,0,0,,,0,,
North Coast,Other works,,,Transport Network Investments,1136434,0,454574,681860,0,0,0,1136434,0,0,0,0,0,,,0,,
North Coast,Other works,,,Transport Planning,13012413,0,0,13012413,0,0,6207413,4410000,2395000,2395000,2395000,0,0,,,0,,
Wide Bay/Burnett,Bundaberg Regional,State,2832212,"Booyal - Dallarnil Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",770626,8476882,6357662,2119220,0,7706256,770626,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-25.238001,152.036463
